Shipment_ID,Origin_Name,Origin_Lat,Origin_Lon,Destination_Name,Destination_Lat,Destination_Lon,Transport_Mode,Distance_KM,Base_Cost_USD,Transit_Days,Delay_Days,CO2_Emissions_Tons,Weather_Condition,Geopolitical_Risk,Port_Congestion_Index
GLOBAL-EXP-10001,Singapore Port,1.3521,103.8198,Port of Los Angeles,33.7423,-118.2705,Sea Freight,11549.6,12844.12,25.9,0.0,0.57,Clear,Medium,4.0
GLOBAL-EXP-10002,Ambarli Port (Istanbul),40.9681,28.6946,Port of Los Angeles,33.7423,-118.2705,Rail Freight,15319.08,46631.12,16.1,13.0,1.62,Clear,High (Suez Crisis),5.7
GLOBAL-EXP-10003,Ambarli Port (Istanbul),40.9681,28.6946,Rotterdam Hub,51.9244,4.4777,Sea Freight,2746.65,4069.52,16.9,0.0,0.13,Clear,Low,6.6
GLOBAL-EXP-10004,Ambarli Port (Istanbul),40.9681,28.6946,Frankfurt Logistics Hub,50.1109,8.6821,Road Freight,11720.72,31900.06,12.0,0.0,2.43,Clear,Low,9.7
GLOBAL-EXP-10005,Shenzhen Port,22.5431,114.0579,Hamburg Hub,53.5511,9.9937,Sea Freight,5856.41,7486.15,26.5,0.0,0.31,Clear,Low,2.6
GLOBAL-EXP-10006,Shanghai Port,31.2304,121.4737,Port of Los Angeles,33.7423,-118.2705,Air Freight,10321.09,54908.87,2.7,0.0,11.29,Minor Storm,Low,8.0
GLOBAL-EXP-10007,Shenzhen Port,22.5431,114.0579,Hamburg Hub,53.5511,9.9937,Air Freight,7224.65,38692.82,2.9,10.8,7.89,Severe Typhoon,Medium,7.7
GLOBAL-EXP-10008,Singapore Port,1.3521,103.8198,Rotterdam Hub,51.9244,4.4777,Road Freight,10683.14,28665.01,14.1,0.0,1.8,Clear,Low,9.9
GLOBAL-EXP-10009,Ambarli Port (Istanbul),40.9681,28.6946,Rotterdam Hub,51.9244,4.4777,Road Freight,5181.48,17745.24,9.5,0.0,1.0,Clear,Low,9.3
GLOBAL-EXP-10010,Shenzhen Port,22.5431,114.0579,Rotterdam Hub,51.9244,4.4777,Road Freight,7294.37,18838.62,9.3,9.8,1.31,Severe Typhoon,Low,6.7
GLOBAL-EXP-10011,Singapore Port,1.3521,103.8198,Frankfurt Logistics Hub,50.1109,8.6821,Sea Freight,15582.62,27457.11,33.0,10.4,0.74,Clear,Extreme (Chokepoint Blocked),7.4
GLOBAL-EXP-10012,Shenzhen Port,22.5431,114.0579,Hamburg Hub,53.5511,9.9937,Road Freight,12182.57,35434.98,14.2,0.0,2.51,Clear,Low,3.2
GLOBAL-EXP-10013,Shanghai Port,31.2304,121.4737,Frankfurt Logistics Hub,50.1109,8.6821,Rail Freight,11581.85,44306.95,17.1,13.0,1.38,Clear,High (Suez Crisis),1.9
GLOBAL-EXP-10014,Ambarli Port (Istanbul),40.9681,28.6946,Port of Los Angeles,33.7423,-118.2705,Road Freight,10629.48,50937.06,14.4,11.1,1.91,Clear,High (Suez Crisis),3.1
GLOBAL-EXP-10015,Shenzhen Port,22.5431,114.0579,Rotterdam Hub,51.9244,4.4777,Road Freight,4634.49,14804.04,7.8,0.0,0.91,Clear,Low,3.4
GLOBAL-EXP-10016,Ambarli Port (Istanbul),40.9681,28.6946,Frankfurt Logistics Hub,50.1109,8.6821,Rail Freight,13248.3,32277.58,18.7,0.0,1.71,Clear,Low,3.3
GLOBAL-EXP-10017,Shenzhen Port,22.5431,114.0579,Frankfurt Logistics Hub,50.1109,8.6821,Sea Freight,6268.5,12555.18,24.0,13.5,0.28,Clear,Extreme (Chokepoint Blocked),6.7
GLOBAL-EXP-10018,Shenzhen Port,22.5431,114.0579,Hamburg Hub,53.5511,9.9937,Sea Freight,5872.88,10072.98,28.8,17.3,0.28,Clear,Extreme (Chokepoint Blocked),4.3
GLOBAL-EXP-10019,Ambarli Port (Istanbul),40.9681,28.6946,Hamburg Hub,53.5511,9.9937,Air Freight,14773.52,69820.79,3.9,0.0,15.35,Clear,Medium,8.7
GLOBAL-EXP-10020,Ambarli Port (Istanbul),40.9681,28.6946,Frankfurt Logistics Hub,50.1109,8.6821,Road Freight,5623.93,18776.76,7.4,0.0,1.1,Clear,Low,4.5
GLOBAL-EXP-10021,Shenzhen Port,22.5431,114.0579,Port of Los Angeles,33.7423,-118.2705,Sea Freight,5345.15,6302.0,27.1,0.0,0.25,Minor Storm,Medium,2.6
GLOBAL-EXP-10022,Ambarli Port (Istanbul),40.9681,28.6946,Rotterdam Hub,51.9244,4.4777,Road Freight,3489.64,12794.36,8.5,0.0,0.68,Clear,Low,4.1
GLOBAL-EXP-10023,Singapore Port,1.3521,103.8198,Frankfurt Logistics Hub,50.1109,8.6821,Road Freight,8472.13,30958.02,12.5,0.0,1.75,Minor Storm,Medium,8.1
GLOBAL-EXP-10024,Ambarli Port (Istanbul),40.9681,28.6946,Port of Los Angeles,33.7423,-118.2705,Air Freight,12616.03,56867.91,2.9,0.0,12.74,Clear,Low,7.2
GLOBAL-EXP-10025,Ambarli Port (Istanbul),40.9681,28.6946,Rotterdam Hub,51.9244,4.4777,Sea Freight,9902.3,9161.37,27.9,0.0,0.52,Clear,Low,7.5
GLOBAL-EXP-10026,Ambarli Port (Istanbul),40.9681,28.6946,Rotterdam Hub,51.9244,4.4777,Road Freight,6243.24,17588.37,11.1,0.0,1.14,Clear,Low,9.0
GLOBAL-EXP-10027,Singapore Port,1.3521,103.8198,Frankfurt Logistics Hub,50.1109,8.6821,Air Freight,12702.78,73628.53,3.0,0.0,12.7,Clear,Low,6.1
GLOBAL-EXP-10028,Ambarli Port (Istanbul),40.9681,28.6946,Rotterdam Hub,51.9244,4.4777,Road Freight,17262.86,85979.16,17.9,19.3,2.86,Clear,High (Suez Crisis),4.9
GLOBAL-EXP-10029,Shanghai Port,31.2304,121.4737,Frankfurt Logistics Hub,50.1109,8.6821,Rail Freight,6891.15,15361.02,10.9,7.0,0.79,Heavy Snow,Low,4.6
GLOBAL-EXP-10030,Shenzhen Port,22.5431,114.0579,Hamburg Hub,53.5511,9.9937,Rail Freight,11840.12,37747.05,13.6,0.0,1.37,Clear,Low,8.9
GLOBAL-EXP-10031,Shanghai Port,31.2304,121.4737,Port of Los Angeles,33.7423,-118.2705,Sea Freight,10845.12,10927.08,29.9,0.0,0.52,Clear,Medium,6.5
